15min,30min,45min,60min,,,15min,30min,45min,60min
11.34656397,11.42658378,11.34918065,11.43631076,,,,,,
7.314178963,7.237086302,7.229149757,7.22585997,,,,,,
10.38774166,10.41392204,10.39366112,10.50747623,,,,,,
5.440321499,5.593974209,5.359842162,5.482642364,,,,,,
6.372329538,6.370087726,6.352869566,6.336519051,,,,,,
8.598113753,8.437025112,8.676751995,8.498317723,,,,,,
8.255599048,8.157733109,8.175866747,8.223708895,,,,,,
11.72952228,11.7118212,11.7510058,11.73170977,,,,,,
5.900297926,5.87436617,5.938691594,5.863251997,,,,,,
9.421116461,9.461221363,9.453120152,9.470750506,,,,,,
9.54647293,9.532785577,9.55205948,9.558538118,,,,,,
15.29600546,15.31206546,15.27842029,15.32031307,,,,,,
7.66156812,7.672843066,7.658313441,7.66474691,,,,,,
8.093732327,7.931003779,8.00199211,7.997901859,,,,,,
8.127772307,8.117697099,8.12168291,8.126753838,,,,,,
8.346952878,8.344806069,8.382952363,8.355614444,,,,,,
8.565288552,8.561386605,8.56143846,8.567097395,,,,,,
